likes,retweets,total_replies,created_at,cleaned_text,label,Cleaned_Text,Label
850,158,128,2021-08-30 08:14:46+00:00,there is something very genuine about jimmy wanjigi and he is a brilliant and sober thinker but the government that processed kenya into its current sad predicament was formed in his house though jimmy wanjigi speaks well we must wonder what in gods holy name are we missing,neutral,there is something very genuine about jimmy wanjigi and he is a brilliant and sober thinker but the government that processed kenya into its current sad predicament was formed in his house though jimmy wanjigi speaks well we must wonder what in gods holy name are we missing,
490,68,155,2022-01-18 16:47:40+00:00,jimmy wanjigi is a known crook he is behind most tender deals that have seen him paid billions of money he is a billionaire who has invented nothing owns nothing and has no known businesses if its forgery of land titles let him face the law no one is above the law,offensive,jimmy wanjigi is a known crook he is behind most tender deals that have seen him paid billions of money he is a billionaire who has invented nothing owns nothing and has no known businesses if its forgery of land titles let him face the law no one is above the law,
3482,316,168,2024-07-05 22:43:59+00:00,today was a very hard day for me and my family as we laid to rest a remarkable man in kianjoya estate in nyeri county the late hon maina wanjigi my dad my buddy my mentor as a family weve lost a rock a source of laughter rest easy dad,neutral,today was a very hard day for me and my family as we laid to rest a remarkable man in kianjoya estate in nyeri county the late hon maina wanjigi my dad my buddy my mentor as a family weve lost a rock a source of laughter rest easy dad,
424,191,4,2024-08-19 17:23:16+00:00,politician jimi wanjigis lawyer john khaminwa recounts the events that led to wanjigis arrest and detention at kamukunji police station after he arrived at nairobi area dci offices for questioning in connection with the nane nane protests,neutral,politician jimi wanjigis lawyer john khaminwa recounts the events that led to wanjigis arrest and detention at kamukunji police station after he arrived at nairobi area dci offices for questioning in connection with the nane nane protests,
254,67,273,2024-08-09 15:48:02+00:00,jimmy wanjigi is a thug who has been financing anarchists who want to overthrow a legitimate government well yesterday the state arrived in its full glory at their house the coward went into hiding leaving behind his kids anarchists will fall,hate,jimmy wanjigi is a thug who has been financing anarchists who want to overthrow a legitimate government well yesterday the state arrived in its full glory at their house the coward went into hiding leaving behind his kids anarchists will fall,
2,7,9,2025-04-21 12:11:22+00:00,if someone urges you to share what you know pause ask who benefits from my truth in nelson amenyas case the answer is jimi wanjigis inner circleand possibly your downfall,neutral,if someone urges you to share what you know pause ask who benefits from my truth in nelson amenyas case the answer is jimi wanjigis inner circleand possibly your downfall,
2996,633,200,2024-08-13 22:44:43+00:00,jimmy wanjigi is a national treasure he should be protected by all means what message do you have for him,neutral,jimmy wanjigi is a national treasure he should be protected by all means what message do you have for him,
1087,137,165,2021-09-17 18:30:53+00:00,raila odinga is a tyrant this was jimmi wanjigi giving conman kes in bondo during a church fundraiser on october but when jimmy wanjigi deluded himself that he could challenge the conman in the odmoron presidential nomination they stoned him,hate,raila odinga is a tyrant this was jimmi wanjigi giving conman kes in bondo during a church fundraiser on october but when jimmy wanjigi deluded himself that he could challenge the conman in the odmoron presidential nomination they stoned him,
3274,409,4,2024-08-19 16:07:53+00:00,jimi wanjigi is a fearless man no gen z will pass this tweet without a like,neutral,jimi wanjigi is a fearless man no gen z will pass this tweet without a like,
37,10,2,2025-02-27 23:29:29+00:00,jimmy wanjigi to riggy g you were warned but arrogance took over now the very power you once boasted of is slipping through your fingers you will fail not because of enemies but because of your own mistakes justin muturi kimani ichungwa al jazeera sonko mehdi,neutral,jimmy wanjigi to riggy g you were warned but arrogance took over now the very power you once boasted of is slipping through your fingers you will fail not because of enemies but because of your own mistakes justin muturi kimani ichungwa al jazeera sonko mehdi,
46,9,5,2025-03-21 20:21:56+00:00,wealth churchill gachagua born on th omanyala otile brown jimmy wanjigi peter kahara munga born on th william ruto kaligraph jones rich mavoko eminem aggressiveness amp leadership,offensive,wealth churchill gachagua born on th omanyala otile brown jimmy wanjigi peter kahara munga born on th william ruto kaligraph jones rich mavoko eminem aggressiveness amp leadership,
886,644,10,2024-12-13 09:25:05+00:00,all facts support what jimmi wanjigi keeps telling us but we are quick to dismiss him because hes been a beneficiary of graft together with his information a fact does not stop being a fact because its told by an active or reformed thief,neutral,all facts support what jimmi wanjigi keeps telling us but we are quick to dismiss him because hes been a beneficiary of graft together with his information a fact does not stop being a fact because its told by an active or reformed thief,
111,65,4,2024-08-14 09:57:24+00:00,when a hippo comes out of the river to tell you the secrets of the crocodile believe him afterall they live together in the river and hes best placed to know its the factual content of the information about the crocodile that matters not how he is his co conspirator,neutral,when a hippo comes out of the river to tell you the secrets of the crocodile believe him afterall they live together in the river and hes best placed to know its the factual content of the information about the crocodile that matters not how he is his co conspirator,
5,2,0,2024-07-15 01:28:09+00:00,jimmy wanjigi ladies and gentlemen believe them at your own peril,offensive,jimmy wanjigi ladies and gentlemen believe them at your own peril,
6,4,0,2024-07-15 01:29:14+00:00,jimmy wanjigi ladies and gentlemen believe him at your own peril,offensive,jimmy wanjigi ladies and gentlemen believe him at your own peril,
848,316,34,2024-07-14 23:58:52+00:00,jimmy wanjigi is part of the swamp that needs to be drainedthanks for the intel but once we oust the despots he should follow them to kamiti,hate,jimmy wanjigi is part of the swamp that needs to be drainedthanks for the intel but once we oust the despots he should follow them to kamiti,
1844,202,10,2024-06-28 13:29:36+00:00,jimmy wanjigis father maina wanjigi passes on,neutral,jimmy wanjigis father maina wanjigi passes on,
414,139,401,2024-08-06 15:11:43+00:00,dear jimmy wanjigi you may hide but you cant hide forever nis wants to interrogate you immediately for funding amerix gaitho and nyakundi we have caught you jimi wanjigi and this time you wont walk away with it we will deal with you ruthlessly,offensive,dear jimmy wanjigi you may hide but you cant hide forever nis wants to interrogate you immediately for funding amerix gaitho and nyakundi we have caught you jimi wanjigi and this time you wont walk away with it we will deal with you ruthlessly,
5363,2689,163,2024-08-19 17:00:20+00:00,nini hii bana yani dci has been politicised despite court orders restricting jimmys arrest they still went ahead and arrested him we are being led by a person who thinks hes above the the contitution kenya does not belong to youkenya ni yetu,neutral,nini hii bana yani dci has been politicised despite court orders restricting jimmys arrest they still went ahead and arrested him we are being led by a person who thinks hes above the the contitution kenya does not belong to youkenya ni yetu,
5,4,0,2025-02-03 20:04:02+00:00,jimmy wanjigi ako na doh kuliko jim racliff,neutral,jimmy wanjigi ako na doh kuliko jim racliff,
22,7,1,2025-03-14 20:38:13+00:00,get out of jimmy wanjigis kitchen to the real world dishwashing must end,neutral,get out of jimmy wanjigis kitchen to the real world dishwashing must end,
174,71,6,2025-03-14 04:28:23+00:00,the political terrain has become irredeemably untenable for william ruto kenyans have developed a heightened discernment seeing through the ostentatious theatrics of his ecclesiastical philanthropy which they now recognize as a veneer for political expediency the faade is,neutral,the political terrain has become irredeemably untenable for william ruto kenyans have developed a heightened discernment seeing through the ostentatious theatrics of his ecclesiastical philanthropy which they now recognize as a veneer for political expediency the faade is,
213,150,3,2024-08-15 12:58:23+00:00,jimmy wanjigi has done his homework well and he knows what he is talking about he shouldnt be ignored btw,neutral,jimmy wanjigi has done his homework well and he knows what he is talking about he shouldnt be ignored btw,
819,211,133,2024-08-19 17:51:32+00:00,jimmy wanjigi net worth estimated around billion dci hata aibu hawana kuweka billionaire pingu,neutral,jimmy wanjigi net worth estimated around billion dci hata aibu hawana kuweka billionaire pingu,
503,124,31,2024-07-14 22:52:53+00:00,an appreciation tweet for one jimmy wanjigi leave a message for him,neutral,an appreciation tweet for one jimmy wanjigi leave a message for him,
0,0,0,2025-03-19 21:35:30+00:00,hii hashtag hukuwa ya jimmy wanjigi we now know the owner of the dog,offensive,hii hashtag hukuwa ya jimmy wanjigi we now know the owner of the dog,
3155,1132,247,2024-08-19 14:44:10+00:00,do not order me do not touch me businessman jimi wanjigi arrives at nairobi area dci offices for grilling amid drama with police over the nane nane protests,neutral,do not order me do not touch me businessman jimi wanjigi arrives at nairobi area dci offices for grilling amid drama with police over the nane nane protests,
128,42,8,2024-08-21 12:43:41+00:00,jimmy wanjigi ni nani kwani,neutral,jimmy wanjigi ni nani kwani,
23,14,1,2025-02-23 19:05:23+00:00,mtoto wa jimmy wanjigi amewasalimia,neutral,mtoto wa jimmy wanjigi amewasalimia,
210,39,11,2024-08-13 23:13:40+00:00,jimmy wanjigi speaks with certainty smoothness and assurance that you cannot get tired of listening to his political takes he is a smart guy,neutral,jimmy wanjigi speaks with certainty smoothness and assurance that you cannot get tired of listening to his political takes he is a smart guy,
755,306,3,2025-04-18 13:51:47+00:00,they are borrowing over billion a month jimmy wanjigi,neutral,they are borrowing over billion a month jimmy wanjigi,
4,2,0,2025-01-18 18:51:05+00:00,windeal done booom doubt kills more dreams than failure ever will you keep doubting we keep winning vip section smiling all the way to the bank for big money maina njenga arrest jimmy wanjigi duka moja mbeumo,offensive,windeal done booom doubt kills more dreams than failure ever will you keep doubting we keep winning vip section smiling all the way to the bank for big money maina njenga arrest jimmy wanjigi duka moja mbeumo,
2,2,0,2025-01-18 13:33:04+00:00,the willingness to take risks can be incredibly rewarding dreams only come true when you stay committed to them be hungry for a better life another vip ticket is ready,offensive,the willingness to take risks can be incredibly rewarding dreams only come true when you stay committed to them be hungry for a better life another vip ticket is ready,
408,387,111,2017-10-17 11:22:43+00:00,watch as police raid jimmy wanjigis home who has reportedly locked himself in a strong room in the house,neutral,watch as police raid jimmy wanjigis home who has reportedly locked himself in a strong room in the house,
1778,509,241,2024-08-19 17:20:21+00:00,jimi wanjigi to be charged with possessing firearms without a license,neutral,jimi wanjigi to be charged with possessing firearms without a license,
1,2,0,2025-01-29 10:24:24+00:00,top politicians likely to be elected kenyas president in eric omondi okiya omtatah jimmy wanjigi martha karua rigathi gachagua kalonzo musyoka mora kibaso raila odinga william ruto fred matiangi,neutral,top politicians likely to be elected kenyas president in eric omondi okiya omtatah jimmy wanjigi martha karua rigathi gachagua kalonzo musyoka mora kibaso raila odinga william ruto fred matiangi,
271,207,15,2024-08-12 09:59:37+00:00,listen to the facts jimi wanjigi is spilling he is an anarchist because he is aware of how william ruto is killing the economy of kenya is this the reason they were haunting him,neutral,listen to the facts jimi wanjigi is spilling he is an anarchist because he is aware of how william ruto is killing the economy of kenya is this the reason they were haunting him,
1367,27,16,2024-07-03 17:16:26+00:00,joined the family friends and relatives of businessman jimmy wanjigi at the all saints cathedral nairobi for the requiem mass of his father hon maina wanjigi maina was a brave politician in a difficult and repressive period during the kanu regime may his soul rest in,neutral,joined the family friends and relatives of businessman jimmy wanjigi at the all saints cathedral nairobi for the requiem mass of his father hon maina wanjigi maina was a brave politician in a difficult and repressive period during the kanu regime may his soul rest in,
421,388,86,2018-02-28 16:48:13+00:00,jimmy wanjigi refuses to leave his vehicle around museum hill police say they have orders to arrest and arraign him in court in nyeri,neutral,jimmy wanjigi refuses to leave his vehicle around museum hill police say they have orders to arrest and arraign him in court in nyeri,
2,0,0,2025-01-30 10:56:29+00:00,on today jimmy wanjigi is about to recruit a lobbyist in the us hoping to gather support for his bid,neutral,on today jimmy wanjigi is about to recruit a lobbyist in the us hoping to gather support for his bid,
20,2,1,2025-02-28 00:08:04+00:00,i only take jimmy wanjigi seriously on matters economics and not politics,neutral,i only take jimmy wanjigi seriously on matters economics and not politics,
2825,517,53,2025-01-25 08:16:42+00:00,after ile deal ya anglo leasing where million euros for tender was stolen there were people who were permanently banned from the usamong them was jimmy wanjigi he was the broker it was the biggest scandal in kibakis governmentsahii jamaa hawezi kanyanga states,neutral,after ile deal ya anglo leasing where million euros for tender was stolen there were people who were permanently banned from the usamong them was jimmy wanjigi he was the broker it was the biggest scandal in kibakis governmentsahii jamaa hawezi kanyanga states,
437,81,65,2024-08-19 17:13:10+00:00,breaking news police arrest jimi wanjigi after arriving at the dci headquarters,neutral,breaking news police arrest jimi wanjigi after arriving at the dci headquarters,
26,1,3,2025-02-28 18:20:09+00:00,picture this the youths have managed to gather forces and form the greatest uprising in the history of the country suddenly everyone especially bigwigs wakaanza kuongelea minerals ndio huyo jimmy wanjigi yapping about hidden minerals wako wapi saa hii bunch of clowns,offensive,picture this the youths have managed to gather forces and form the greatest uprising in the history of the country suddenly everyone especially bigwigs wakaanza kuongelea minerals ndio huyo jimmy wanjigi yapping about hidden minerals wako wapi saa hii bunch of clowns,
211,38,9,2021-08-30 16:50:48+00:00,you guys know maina wanjigi jimmy wanjigis father served as a cabinet minister for agriculture tourism public works and also served as an mp for more than years right,neutral,you guys know maina wanjigi jimmy wanjigis father served as a cabinet minister for agriculture tourism public works and also served as an mp for more than years right,
247,82,14,2024-08-19 16:47:07+00:00,breaking news the dci have illegally arrested jimi wanjigi despite numerous court orders barring the same arrest,neutral,breaking news the dci have illegally arrested jimi wanjigi despite numerous court orders barring the same arrest,
4324,593,124,2024-08-13 21:21:16+00:00,jimmy wanjigi confirms he was within his compound when police raided his muthaiga home says that where he was he could see everything happening outside and inside his house however wanjigi declined disclosing where exactly he was hiding and affirmed again looking for him in,neutral,jimmy wanjigi confirms he was within his compound when police raided his muthaiga home says that where he was he could see everything happening outside and inside his house however wanjigi declined disclosing where exactly he was hiding and affirmed again looking for him in,
19,6,4,2025-01-19 18:16:18+00:00,jimmy wanjigi is an opportunist who grabs every single opportunity that he comes across to fleece billions from kenyan subsequent governments jimmy amassed his wealth through gaining privileged access to singlesourced multibillion government tenders through his tyl limited,neutral,jimmy wanjigi is an opportunist who grabs every single opportunity that he comes across to fleece billions from kenyan subsequent governments jimmy amassed his wealth through gaining privileged access to singlesourced multibillion government tenders through his tyl limited,
12284,2714,575,2024-08-09 18:52:28+00:00,businessman jimi wanjigi resurfaces hours after police raid at his muthaiga home they tried looking for me here years ago and couldnt find me they tried again yesterdaystop wasting your time,neutral,businessman jimi wanjigi resurfaces hours after police raid at his muthaiga home they tried looking for me here years ago and couldnt find me they tried again yesterdaystop wasting your time,
135,79,16,2017-10-18 15:50:27+00:00,and i hereby declare upon powers vested on me by twitter for to start,neutral,and i hereby declare upon powers vested on me by twitter for to start,
18,2,0,2025-03-04 14:07:54+00:00,a political storm is coming jimmy wanjigiwamunyorokalonzoeugene wamalwamorara kebaso plus matiangi,neutral,a political storm is coming jimmy wanjigiwamunyorokalonzoeugene wamalwamorara kebaso plus matiangi,
866,354,95,2024-08-19 17:22:28+00:00,dci with orders from above have arrested jimi wanjigi in front of his family they rushed him to kamukunji police station and forcefully taken his fingerprints which is against the law there are over court orders stopping the government from arresting jimmy,neutral,dci with orders from above have arrested jimi wanjigi in front of his family they rushed him to kamukunji police station and forcefully taken his fingerprints which is against the law there are over court orders stopping the government from arresting jimmy,
305,56,75,2024-12-25 22:30:10+00:00,its totally unimaginable to believe jimmy wanjigi love our country he is a very dangerous cartel who cannot even explain to kenyans how he acquired his wealth,neutral,its totally unimaginable to believe jimmy wanjigi love our country he is a very dangerous cartel who cannot even explain to kenyans how he acquired his wealth,
15,4,0,2025-03-29 18:06:58+00:00,jimmy wanjigi has made it his business to befriend the presidency if he fails he intimidates amp coerce them to submit to his will things went south for him because president william ruto doesnt buy threats wanjigi amp gachagua have a sinister plan in mt kenya for president ruto,neutral,jimmy wanjigi has made it his business to befriend the presidency if he fails he intimidates amp coerce them to submit to his will things went south for him because president william ruto doesnt buy threats wanjigi amp gachagua have a sinister plan in mt kenya for president ruto,
1033,434,41,2024-08-19 16:58:42+00:00,they have arrested jimi wanjigi there is nothing any regime is afraid of as someone who wants the masses to know the dark secrets of corrupt deals,neutral,they have arrested jimi wanjigi there is nothing any regime is afraid of as someone who wants the masses to know the dark secrets of corrupt deals,
16,1,3,2025-01-22 12:40:25+00:00,i had a very weird dream nelson amenya had switched sides kindiki was a watchman amp jimmy wanjigi was president,neutral,i had a very weird dream nelson amenya had switched sides kindiki was a watchman amp jimmy wanjigi was president,
4,2,0,2025-02-08 15:46:12+00:00,jatend duond bura ma safina jimmy wanjigi gavana ma machakos wavinya ndeti kod gavana ma siaya james orengo oyuoro e nyasi mar ik mar jaduong richard ochieng ma en wuon okil willis otieno e skund primar ma gulf academy alego usonga,neutral,jatend duond bura ma safina jimmy wanjigi gavana ma machakos wavinya ndeti kod gavana ma siaya james orengo oyuoro e nyasi mar ik mar jaduong richard ochieng ma en wuon okil willis otieno e skund primar ma gulf academy alego usonga,
2755,1874,67,2024-08-09 21:24:44+00:00,these are some of the reasons jimmy wanjigi is being hunted like an al qaida and being accused of planning a coup he is opening our eyes concerning the ever elusive odious debt that we have been paying for ten years and it keeps on increasing,neutral,these are some of the reasons jimmy wanjigi is being hunted like an al qaida and being accused of planning a coup he is opening our eyes concerning the ever elusive odious debt that we have been paying for ten years and it keeps on increasing,
22,11,3,2025-01-18 18:29:48+00:00,stop recycling old politicians into state jobs ledama olekina duka moja maina njenga arrest jimmy wanjigi utawala mungiki uhuru,neutral,stop recycling old politicians into state jobs ledama olekina duka moja maina njenga arrest jimmy wanjigi utawala mungiki uhuru,
3033,681,47,2024-08-13 23:19:47+00:00,jimmy wanjigi is the only guy in the history of this country nimeona anaongelea mambo ya debt na inamake sense this dude understand matters finances properly,neutral,jimmy wanjigi is the only guy in the history of this country nimeona anaongelea mambo ya debt na inamake sense this dude understand matters finances properly,
668,245,14,2025-02-28 13:12:02+00:00,jimmy wanjigi was simply saying that kenyans are paying over into someones pockets and will continue to do so for the next years the uhuruto regime was designed to impoverish kenyans,neutral,jimmy wanjigi was simply saying that kenyans are paying over into someones pockets and will continue to do so for the next years the uhuruto regime was designed to impoverish kenyans,
651,105,17,2024-08-19 16:43:13+00:00,news update businessman jimi wanjigi arrested and detained at kamukunji police station over claims of illegal possession of firearms,neutral,news update businessman jimi wanjigi arrested and detained at kamukunji police station over claims of illegal possession of firearms,
1320,544,35,2024-07-15 00:57:53+00:00,jimmy wanjigi is not clean his father plundered kenyatta government but hes the live version of jacob juma let him talk we dont care about this agenda cause we are laser focused,neutral,jimmy wanjigi is not clean his father plundered kenyatta government but hes the live version of jacob juma let him talk we dont care about this agenda cause we are laser focused,
8598,3663,222,2024-08-19 16:51:10+00:00,jimmy is no saint but we need jimmy now more than ever now we begin,neutral,jimmy is no saint but we need jimmy now more than ever now we begin,
2534,510,328,2024-08-15 09:17:40+00:00,i will never endorse jimmy wanjigi eri nipigie msee anaitwa henry wazoga mwenye sijawaiskia na ako na leadership traits na competency wanjigi is just another con,neutral,i will never endorse jimmy wanjigi eri nipigie msee anaitwa henry wazoga mwenye sijawaiskia na ako na leadership traits na competency wanjigi is just another con,
988,144,20,2024-08-10 07:07:18+00:00,michael scotfield definitely designed jimmy wanjigis house coz aint no way the feds swept it twice wakamkosa haha,neutral,michael scotfield definitely designed jimmy wanjigis house coz aint no way the feds swept it twice wakamkosa haha,
21,14,1,2025-01-20 17:14:54+00:00,jimmy wanjigi the low key hot air manufacturer for a man who manufactures nothing of note and offers no service to humanity beyond cutting deals and fixing tenders the kenyan taxpayer has gifted mr jimi richard wanjigi a fairy tale existence on paper wanjigi gets his money,neutral,jimmy wanjigi the low key hot air manufacturer for a man who manufactures nothing of note and offers no service to humanity beyond cutting deals and fixing tenders the kenyan taxpayer has gifted mr jimi richard wanjigi a fairy tale existence on paper wanjigi gets his money,
2158,662,35,2024-08-08 23:53:33+00:00,police have accessed jimmy wanjigis main house breaking the door and causing significant damage they are searching the premises room by room without a warrant wanjigi is safe but not at the location citizen tv,neutral,police have accessed jimmy wanjigis main house breaking the door and causing significant damage they are searching the premises room by room without a warrant wanjigi is safe but not at the location citizen tv,
15,7,1,2025-01-19 21:22:04+00:00,jimmy wanjigi is right we should stop paying taxes,neutral,jimmy wanjigi is right we should stop paying taxes,
610,132,58,2024-08-19 16:32:16+00:00,jimmy wanjigi has been arrested and taken to kamukunji police station i am heading there to find out why they have arrested him,neutral,jimmy wanjigi has been arrested and taken to kamukunji police station i am heading there to find out why they have arrested him,
1600,477,110,2024-08-19 16:43:20+00:00,businessman jimmy wanjigi arrested being detained at kamkunji police station,neutral,businessman jimmy wanjigi arrested being detained at kamkunji police station,
423,83,7,2025-02-16 18:52:35+00:00,jimmy wanjigi injecting baba ameanguka sababu ya kaongojina ya kaongo huku inje ni mbaya sana,offensive,jimmy wanjigi injecting baba ameanguka sababu ya kaongojina ya kaongo huku inje ni mbaya sana,
1,0,0,2025-03-27 09:55:31+00:00,drive your probox in peace eat your ugali in peace wear k jeans in peace folks are doing too much to join level ya jimmy wanjigi status in a very short span of life pahali people have done years of hard work vijana na years want to arrive and put it online,neutral,drive your probox in peace eat your ugali in peace wear k jeans in peace folks are doing too much to join level ya jimmy wanjigi status in a very short span of life pahali people have done years of hard work vijana na years want to arrive and put it online,
11,6,0,2025-01-19 22:01:02+00:00,you dont become a billionaire by working for the government thats the poor people money jimmy wanjigi,neutral,you dont become a billionaire by working for the government thats the poor people money jimmy wanjigi,
750,421,44,2024-08-19 17:29:40+00:00,the government says jimi wanjigi has been arrested for possessing firearms without a certificate complainant is the firearms licensing board these people think kenyans are fools we demand they free jimmy wanjigi unconditionally now,offensive,the government says jimi wanjigi has been arrested for possessing firearms without a certificate complainant is the firearms licensing board these people think kenyans are fools we demand they free jimmy wanjigi unconditionally now,
3,1,0,2025-01-19 21:48:12+00:00,nyinyi mnaona aje manze we need jimmy wanjigi to be our cabinet for treasury man seems to know where the problem is,neutral,nyinyi mnaona aje manze we need jimmy wanjigi to be our cabinet for treasury man seems to know where the problem is,
2,1,0,2025-01-19 17:37:09+00:00,government bloggers are worried about the jimmy wanjigi interview the are only talking about unreasonable cases,neutral,government bloggers are worried about the jimmy wanjigi interview the are only talking about unreasonable cases,
0,0,0,2025-03-26 18:25:35+00:00,more taxes or borrowing city tycoon jimmy wanjigi,neutral,more taxes or borrowing city tycoon jimmy wanjigi,
84,7,23,2025-02-06 14:08:26+00:00,confirmation of been the number of wealth churchill eric wainaina born on th gachagua born on th omanyala otile brown bob collymore jimmy wanjigi peter kahara munga born on th naushad merali born on th william ruto kaligraph jones,neutral,confirmation of been the number of wealth churchill eric wainaina born on th gachagua born on th omanyala otile brown bob collymore jimmy wanjigi peter kahara munga born on th naushad merali born on th william ruto kaligraph jones,
4198,571,580,2020-03-02 20:41:54+00:00,worst kenyans looters alive who should be jailed uhuru kenyatta ngina kenyatta uhurus mother muhoho kenyatta george muhoho raila odinga jimmy wanjigi charles njonjo joshua kulei simeon nyachae gideon moi anne waiguru william ruto not rashid echesa,neutral,worst kenyans looters alive who should be jailed uhuru kenyatta ngina kenyatta uhurus mother muhoho kenyatta george muhoho raila odinga jimmy wanjigi charles njonjo joshua kulei simeon nyachae gideon moi anne waiguru william ruto not rashid echesa,
248,161,11,2024-08-19 16:40:06+00:00,jimi wanjigi has been arrested without an arrest warrant even after a court order stopped his arrest,neutral,jimi wanjigi has been arrested without an arrest warrant even after a court order stopped his arrest,
112,15,4,2022-10-01 12:34:42+00:00,jimmy maina wanjigi flexing out here,neutral,jimmy maina wanjigi flexing out here,
8,2,1,2022-10-01 12:29:28+00:00,aki pesa wewe,neutral,aki pesa wewe,
73,20,18,2025-02-28 08:03:05+00:00,jimmy wanjigi tells the hard truth over of kenyas revenue is swallowed by debt repayment every year thanks to the reckless borrowing and plunder under uhurus regime these debts didnt even benefit kenyans changing presidents wont magically fix this mess the real,neutral,jimmy wanjigi tells the hard truth over of kenyas revenue is swallowed by debt repayment every year thanks to the reckless borrowing and plunder under uhurus regime these debts didnt even benefit kenyans changing presidents wont magically fix this mess the real,
508,153,19,2024-08-19 16:37:36+00:00,breaking news business man jmmy wanjigi has been arrested and taken to kamukunji police station,neutral,breaking news business man jmmy wanjigi has been arrested and taken to kamukunji police station,
537,155,13,2024-08-09 12:00:24+00:00,they definitely planted those teargas canisters kwa jimmy wanjigi ama mnataka kuniambia huwa ananunua anaweka tu kejani make it make sense,neutral,they definitely planted those teargas canisters kwa jimmy wanjigi ama mnataka kuniambia huwa ananunua anaweka tu kejani make it make sense,
